ID,Pool,Labeled,Species,Temperature,WetMass,NH4.ug.h,NH4.umol.h,NH4.umol.g.h,SRP.ug.h,SRP.umol.h,N:P,N.um.g.h,P.um.g.h,NP
45,Widowmaker,Dace8,C.erythrogaster,22.5,1.5,28.23132411,2.0165135,1.344342333,4.161288822,0.134365154,15.00771174,1.344342333,0.089576769,15.0077118
46,Widowmaker,Dace9,C.erythrogaster,22.5,0.63,13.1502784,0.939301105,1.490954135,0.80605904,0.026027092,36.08936043,1.490954135,0.041312844,36.08936085
47,Widowmaker,Dace10,C.erythrogaster,22.5,0.61,9.804418421,0.70031225,1.148052869,0.544927895,0.017595347,39.80099125,1.148052869,0.028844831,39.80099135
56,NT2.062618,ETHSPE1,E.spectabile,22.5,0.91,30.19479728,2.156760913,2.370066937,5.02543048,0.162267694,13.29137588,2.370066937,0.178316147,13.29137589
57,NT2.062618,ETHSPE2,E.spectabile,22.5,0.5,16.51327268,1.179513832,2.359027664,3.01248788,0.097271162,12.12603829,2.359027664,0.194542324,12.12603826
58,NT2.062618,ETHSPE3,E.spectabile,22.5,0.5,14.43819706,1.031294855,2.06258971,3.92055962,0.126592174,8.146592516,2.06258971,0.253184347,8.14659253
59,NT2.062618,ETHSPE4,E.spectabile,22.5,0.46,13.37888093,0.955629779,2.077456041,3.372904603,0.10890877,8.774589779,2.077456041,0.236758195,8.774589792
60,NT2.062618,ETHSPE5,E.spectabile,22.5,0.48,10.83479589,0.773910288,1.6123131,2.822738743,0.091144293,8.491044975,1.6123131,0.189883943,8.491044975
61,NT2.062618,ETHSPE6,E.spectabile,22.5,0.37,8.147191314,0.581939452,1.57280933,2.555077029,0.08250168,7.053667903,1.57280933,0.222977513,7.053667919
62,NT2.062618,ETHSPE7,E.spectabile,22.5,0.38,11.9192682,0.851372226,2.240453226,1.593864263,0.051464781,16.54281262,2.240453226,0.135433634,16.54281259
63,NT2.062618,ETHSPE8,E.spectabile,22.5,0.22,7.109972073,0.507852718,2.308421445,2.1579928,0.069680103,7.288346225,2.308421445,0.316727742,7.288346232
64,NT2.062618,ETHSPE9,E.spectabile,22.5,0.44,10.87574407,0.776835145,1.76553442,1.943447891,0.062752596,12.37933085,1.76553442,0.142619536,12.37933084
65,NT2.062618,ETHSPE10,E.spectabile,22.5,0.59,10.97953744,0.784248921,1.329235459,1.676811296,0.054143084,14.48474801,1.329235459,0.091767938,14.48474803
48,Widowmaker,Luxcor1,L.cornutus,22.5,1.81,26.74946649,1.910667034,1.055617146,6.197466234,0.200111922,9.547992003,1.055617146,0.110559073,9.547992013
49,Widowmaker,Luxcor2,L.cornutus,22.5,3.75,84.15707844,6.011191121,1.602984299,8.889676519,0.287041541,20.94188564,1.602984299,0.076544411,20.94188561
50,Widowmaker,Luxcor3,L.cornutus,22.5,1.67,28.327736,2.023400031,1.211616785,4.886770333,0.157790453,12.82333621,1.211616785,0.094485301,12.82333625
51,Widowmaker,Luxcor4,L.cornutus,22.5,1.42,46.98190344,3.355834186,2.363263511,5.792154987,0.187024701,17.94326723,2.363263511,0.131707536,17.9432672
52,Widowmaker,Luxcor6,L.cornutus,22.5,1.2,20.34558105,1.453248834,1.211040695,2.4696945,0.079744737,18.2237586,1.211040695,0.066453947,18.2237587
53,Widowmaker,Luxcor7,L.cornutus,22.5,1.38,22.88331896,1.634514961,1.184431131,5.356401778,0.172954529,9.450547297,1.184431131,0.125329369,9.450547309
