ID,Pool,Labeled,Species,Temp,WetMass,NH4.ug.h,NH4.umol.h,NH4.umol.g.h,SRP.ug.h,SRP.umol.h,N.um.g.h,P.um.g.h,NP
84,4,camano1,C.anomalum,22.5,0.52,13.61168676,0.972258687,1.869728244,4.577412788,0.147801511,1.869728244,0.284233675,6.578137668
85,4,camano2,C.anomalum,22.5,0.49,17.02710383,1.216215882,2.482073229,5.654489087,0.182579564,2.482073229,0.372611354,6.66129253
86,4,camano3,C.anomalum,22.5,0.91,18.36360974,1.311680133,1.44140674,7.566806221,0.244326969,1.44140674,0.268491174,5.368544219
87,4,camano4,C.anomalum,22.5,0.42,14.73050321,1.052173765,2.505175631,3.523583383,0.113774084,2.505175631,0.270890676,9.24792122
88,4,camano5,C.anomalum,22.5,1.04,21.29126981,1.520797709,1.462305489,8.903799448,0.28749756,1.462305489,0.276439962,5.289776045
89,4,camano6,C.anomalum,22.5,0.64,17.0114879,1.215100463,1.898594473,9.103510733,0.293946101,1.898594473,0.459290782,4.133752619
90,4,camano7,C.anomalum,22.5,1.77,68.19712546,4.871199935,2.752090359,4.302545461,0.138926234,2.752090359,0.078489398,35.06321145
91,4,camano8,C.anomalum,22.5,2.5,51.01907868,3.644202465,1.457680986,4.219502523,0.136244834,1.457680986,0.054497934,26.74745406
92,4,camano9,C.anomalum,22.5,1.3,36.98217591,2.641571352,2.031977963,1.539469428,0.049708409,2.031977963,0.038237238,53.14133733
93,4,camano10,C.anomalum,22.5,5.36,55.65581531,3.975396354,0.741678424,3.540375071,0.114316276,0.741678424,0.021327663,34.77541932
1,3,Dace1,C.erythrogaster,24,0.29,6.436085471,0.459718191,1.585235141,0.741220235,0.023933492,1.585235141,0.082529281,19.20815402
2,3,Dace2,C.erythrogaster,24,0.27,3.929839652,0.280701489,1.039635144,0.402733391,0.013003984,1.039635144,0.048162904,21.58580687
3,3,Dace3,C.erythrogaster,24,1.01,17.85276583,1.275191456,1.262565798,0.903296743,0.029166831,1.262565798,0.02887805,43.72060433
4,3,Dace4,C.erythrogaster,24,0.89,20.16116074,1.440076018,1.618062942,1.289671371,0.041642602,1.618062942,0.04678944,34.58179756
